Rank,Name,Ticker,Country,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion,Data_As_Of_UTC
1,JPMorgan Chase,JPM,USA,912.16,675.14,795.47,87890.56,2026-07-17T03:30:42+00:00
2,Bank of America,BAC,USA,431.53,319.40,376.32,41579.78,2026-07-17T03:30:42+00:00
3,China Construction Bank,601939.SS,China,385.38,285.24,336.08,37133.03,2026-07-17T03:30:42+00:00
4,HSBC,HSBC,UK,344.75,255.17,300.65,33218.15,2026-07-17T03:30:42+00:00
5,Morgan Stanley,MS,USA,343.28,254.08,299.36,33076.51,2026-07-17T03:30:42+00:00
6,Agricultural Bank of China,601288.SS,China,327.54,242.43,285.64,31559.89,2026-07-17T03:30:42+00:00
7,Goldman Sachs,GS,USA,323.17,239.19,281.83,31138.83,2026-07-17T03:30:42+00:00
8,ICBC,1398.HK,China,310.92,230.13,271.14,29958.49,2026-07-17T03:30:42+00:00
9,Royal Bank Of Canada,RY,Canada,300.26,222.24,261.85,28931.35,2026-07-17T03:30:42+00:00
10,Bank of China,601988.SS,China,279.19,206.64,243.47,26901.16,2026-07-17T03:30:42+00:00
